"# 文本key","文本value"
"Common_Key_Up_DownTips","Клавиша верх и вниз"
"Common_Gender","Пол"
"Common_Name","Имя"
"Common_Orphan","Сирота"
"Common_The_Late","Неизвестный"
"Common_Born","Рождение"
"Common_Preschooler","Детство"
"Common_Schoolchild","Юность"
"Common_Teen","Подросток"
"Common_Submit","Рассмотреть"
"Common_Whos","{0}кто"
"Common_Character","Персонаж"
"Common_Ability","Способность"
"Common_JingMai","Меридианы"
"Common_Relation","Связь"
"Common_Attitude","Отношение"
"Common_Destiny","Карма"
"Common_Unlock_Collection","Открыть Иллюстрацию"
"Common_Return_Login","Выход из мира..."
"Common_Story","Биография"
"Common_Move_Restraint","Движение ограничено"
"Common_Prop","Атрибуты"
"Common_Fade","Темнеет..…"
"Common_Fade_Sp","Спустя некоторое время...…"
"Common_TianLao","Ненормальный культиватор... активирует магический круг... заключает душу…"
"Common_BreakTianLao","Вы спасли другого культиватора и после многих препятствий сбежали из Призрачного храма…"
"Common_BreakTianLao_sp","Небесный Святой спас тебя и отправил обратно в Великие Дебри…"
"Common_RoyalPrison","Тебя заперли в подземелье …"
"Common_RoyalPrison_Sp","Вас заключили в темницу и посадили на кость лютни…"
"Common_RoyalPrison_Sp_Die","Вы были заключены в темницу и пронзены лютневой костью, ожидая обезглавливания…"
"Common_FreeCriminal","По прошествии определенного периода времени ты был освобожден …"
"Common_FreeCriminal_NPC","Через некоторое время заключенный был освобожден…"
"Common_KillHead","Пришло время спросить…"
"Common_Move_To","Идти куда-нибудь"
"Common_Find_Somebody","Ищу кого-нибудь"
"Common_Find_Something","Ищу {0}"
"Common_Move_To_Building","Переместить в здание{0}"
"Common_Move_To_Self_Home","Пойти к кому-то домой"
"Common_Move_To_Other_Home","Иди к себе домой"
"Common_Design","Дизайн"
"Common_Lock","Не разблокирован"
"Common_GarnishLock","Крафт не разблокирован"
"Common_Out_World","Загадочная территория находится в стадии разработки, так что следите за обновлениями!"
"Common_None","Никто"
"Common_Weiget","「Вес」{0}"
"Common_Min","Минимум"
"Common_Max","Максимум"
"Common_All","Все"
"Common_Fake","Фальшивый"
"Common_Easy","Легко"
"Common_Normal","Нормально"
"Common_Hard","Сложно"
"Common_VeryHard","Очень сложно"
"Common_Desolate","荒废度"
"Common_InputNum","Введите кол-во"
"Common_Cost","Стоимость"
"Common_Reason","Причина"
"Common_Money","Деньги"
"Common_Num_Btn","Клавиша"
"Common_Active","Активирован"
"Common_Unactive","Деактивирован"
"Common_Has_Died","Душа возвращается к судьбе"
"Common_Get_Sth","Выиграл"
"Common_Get_Debuff","Получить дебафф"
"Common_Trap","Ловушка"
"Common_Hold","Имеется"
"Common_Master","Опытный"
"Common_Unit_Price","Цена за ед."
"Common_Total_Price","Итого"
"Common_Rule","Правило"
"Common_Choose_sth","Выберите элементы"
"Common_Choose_Member","Выберите участников"
"Common_Choose_Building","Выберите строение"
"Common_Choose","Выбор"
"Common_None_Owner","「Нет принадлежности」"
"Common_Has_Received","「Полученный」"
"Common_Can_Submit","「Можно отправить」"
"Common_Can_Submit_1","Отправляемый"
"Common_All_2","Всего"
"Common_Agree","Соглашаться"
"Common_Degree","Не соглашаться"
"Common_Wait_Agree","Пока не согласен"
"Common_skip_time","Пропустить время..."
"Common_Be_WuLinLeader","Стал лидером альянса боевых искусств"
"Common_WuLin_Failure","К сожалению, поражение"
"Common_P_Attitude","Нравиться:"
"Common_Btn_Attitude","Позитивный настрой способствует:"
"Common_Teach_Condition","Этот уникальный навык необходимо продвинуть до уровня Даченга"
"Common_Teach_Ability_Condition","Эту способность необходимо повысить до уровня {0}"
"Common_Take","Получать"
"Common_Cure_SomeOne","Вы лечили {0}"
"Common_Forgive_SomeOne","Вы прощаете {0}"
"Common_Teach_SomeOne","Вы преподавали {0}"
"Common_Alms_SomeOne","Вы пожертвовали несколько вещей в пользу {0}"
"Common_Cripple_SomeOne","Вы обезврежены {0}"
"Common_Abolish_SomeOne","Вы отменили боевые искусства пользователя {0}"
"Common_TakeHead_SomeOne","Ваша окровавленная аура слишком сильна, и новость о том, что вы забрали голову {0}, просочилась"
"Common_Kill_SomeOne_InCombat","Вы нанесли сильный  по {0}"
"Common_Grab_SomeOne","Ваш поиск {0} стал свидетелем, и новости распространились"
"Common_Attitude_Up","Моя симпатия к тебе возросла"
"Common_Attitude_Down","Моя благосклонность к тебе уменьшилась"
"Common_Relation_Apply_300","У {0} и {1} глубокая ненависть"
"Common_Relation_Apply_302","{0} и {1} имеют тесную связь"
"Common_Relation_Apply","У {0} и {1} глубокая ненависть"
"Common_Attitude_Up_1","Благоприятное впечатление пользователя {0} о {1} увеличилось"
"Common_Attitude_Down_1","Благоприятное впечатление {0} о {1} уменьшилось"
"Common_Spread_Msg_Tips","Подтвердите распространение этого сообщения?"
"Common_AI_Cur","В данный момент"
"Common_overseas","За границей"
"Common_Say_Hi","Приветствовать"
"Common_Command","Объединяйтесь"
"Common_Failed","Неудача"
"Common_Not_Comprehend","Не изучено"
"Common_On_Equiped","Оснащен"
"Common_Monster_Name_1","I"
"Common_Monster_Name_2","II"
"Common_Monster_Name_3","III"
"Common_Monster_Name_4","IV"
"Common_Monster_Name_5","V"
"Common_Monster_Name_6","VI"
"Common_Monster_Name_7","VII"
"Common_Monster_Name_8","VIII"
"Common_Monster_Name_9","IX"
"Common_Monster_Name_10","X"
"Common_Monster_Name_11","XI"
"Common_Half","Половина"
"Common_Unknown","Неизвестный"
"Common_Unknown_1","? ? ?"
"Common_Fabricator","(Придумано)"
"Common_AttiToMe","Хорошее впечатление"
"Common_Specialties","Ресурсы и специальности"
"Common_MapTag","Отметить местоположение"
"Common_Position","Расположение"
"Common_SplitEquip","Разобрать снаряжение"
"Common_Split","Демонтировать"
"Common_Split_All","Пакетное разложение"
"Common_Other_Taget","Другая сторона"
"Common_Leave","Уйти"
"Common_Empty_Pos","Вакантное место"
"Common_Input_XiuWei","ПОЗНАТЬ"
"Common_Recycle","Выиграть"
"Common_Captive","Плен"
"Common_Love_Title","Спать в одной кровати"
"Common_Food","Еда"
"Common_Human_Num","{0}Человек"
"Common_In_Operating","В действии"
"Common_Free","「Бесплатно」"
"Common_Value_Max","<ArguNameMax>（Верхний предел）</>"
"Common_Store_Atk","（Было сохранено <ArguNum>{0}</> слюна）"
"Common_Allow","Разрешить"
"Common_Reject","Отклонить"
"Common_Blow_Up","раздуть"
"Common_Lessen","Показать"
"Common_Select","Выбрать"
"Common_Screen","отбор"
"Common_Selected","Выбрано"
"Common_Occupied","Занято"
"Common_Add_Attact","{0} увеличить {1}"
"Common_Load","Загрузка"
"Common_Save","Сохранить"
"Common_Template","Шаблон"
"Common_SaveTemplate","Сохранить шаблон"
"Common_Paper","Формула"
"Common_Over_Dis","Вне досягаемости"
"Common_Random","Случайный"
"Common_Lv_Num","Ур. {0}"
"Common_Refresh","Обновить"
"Common_New","Новый"
"Common_Next_Page","Следующая страница"
"Common_Pre_Page","Последний страница"
"Common_Rarity_0","Обычная"
"Common_Rarity_1","Редкая"
"Common_Rarity_2","Отличная"
"Common_Not_Name","Неизвестно"
"Common_Put_Item","Поместить в предложения"
"Common_My_Side","Наша сторона"
"Common_Target_Side","Другая сторона"
"Common_Btn_Unlock","Разблокировать рецепт"
"Common_Btn_Item","Создать"
"Common_Btn_Equip","Ткачество"
"Common_Btn_Weapon","Ковка"
"Common_Btn_Cook","Готовка"
"Common_Switch_Unlock","Разблокировка"
"Common_Switch_Lock","Блокировка"
"Common_Paper_Item","Создать рецепт"
"Common_Paper_Equip","Рецепт ткачества"
"Common_Paper_Weapon","Рецепт ковки"
"Common_Paper_Cook","Рецепт готовки"
"Common_Gu_Item","Червь Гу"
"Black_Desc_Gong_Ren","{0} затаил дыхание и сосредоточился, поднял нож и уронил его. После раската грома, прозвучавшего в небе, {1} стал неполным человеком…"
"call_desc_gender_0","Юный господин"
"call_desc_gender_1","Юная госпожа"
"call_desc_1","Ты"
"call_desc_good_2_1","Папочка"
"call_desc_good_2_2","Дедушка"
"call_desc_good_2_3","Папа"
"call_desc_good_2_4","Отец"
"call_desc_good_3_1","Мать"
"call_desc_good_3_2","Бабушка"
"call_desc_good_3_3","Мама"
"call_desc_good_4_1","Супруг"
"call_desc_good_4_2","Свекор"
"call_desc_good_4_3","Муженек"
"call_desc_good_4_4","Супруг"
"call_desc_good_4_5","Господин"
"call_desc_good_5_1","Мадам"
"call_desc_good_5_2","Жена"
"call_desc_good_5_3","Невестка"
"call_desc_good_5_4","Любимая жена"
"call_desc_good_6_1","Брат"
"call_desc_good_6_2","Старший брат"
"call_desc_good_6_3","Старший братишка"
"call_desc_good_7_1","Младший брат"
"call_desc_good_7_2","Дорогой брат"
"call_desc_good_8_1","Сестра"
"call_desc_good_8_2","Сестренка"
"call_desc_good_9_1","Моя сестра"
"call_desc_good_9_2","Младшая сестрица"
"call_desc_good_10_1","Мой сын"
"call_desc_good_10_2","Паренёк"
"call_desc_good_10_3","Паршивец"
"call_desc_bad_10_1","Строптивец"
"call_desc_bad_10_2","Непочтительный сын"
"call_desc_good_11_1","Девушка"
"call_desc_good_11_2","Девочка"
"call_desc_good_12_1","Старший братан"
"call_desc_good_13_1","Старшая сестра"
"call_desc_good_14_1","Младший брат"
"call_desc_good_15_1","Младшая сестра"
"call_desc_good_16_1","Родной брат"
"call_desc_bad_17_1","Ты парень"
"call_desc_good_18_1","Хозяин"
"call_desc_good_20_1","Милый"
"call_desc_bad_20_1","Гуляка"
"combat_panel_1","Завершить"
"combat_panel_2","Контратаки"
"combat_panel_3","{0} высвобождение"
"combat_change_defender_tips","Противник переключается на「{0}」"
"combat_jiao_xun","Преподать урок"
"combat_rao_shu","Простить"
"combat_ji_yun","Нокаутировать {0}"
"combat_xia_zhong_shou","Бой тяжелыми руками {0}"
"combat_fei_chu","Отменить боевые искусства {0}"
"combat_ret_att1","(небольшая обида)"
"combat_ret_att2","(создать врагов)"
"combat_ret_att3","(Глубокая ненависть)"
"combat_suo_yao","Запросить элементы"
"combat_fa_jin","Получите штраф {0}"
"combat_fang_guo","Отпусти (Благодарность +100)"
"combat_zhi_liao","Помогите исцелиться (благодарность +150)"
"Combat_Result_Message_0","{0}После тщательного размышления я решил оглушить вас"
"Combat_Result_Message_1","{0}После тщательного размышления я решил сломать тебе ноги"
"Combat_Result_Message_2","{0}После тщательного размышления я решил блокировать ваши боевые искусства"
"Combat_Result_Message_3","{0}После тщательного рассмотрения мы решили попросить вас предоставить нам товары"
"Combat_Result_Message_4","{0}После тщательного размышления я решил пощадить вас, и мое расположение к вам ухудшелось"
"Combat_Result_Message_5","{0}Хорошо подумав мы решили помочь вам вылечиться"
"Combat_Result_Message_7","{0}Решил принять штраф"
"Combat_Result_Message_8","{0}Решил покалечить тебе ноги и забрать штраф"
"Combat_Result_Message_9","{0}Решил закрыть тебя в подземелье"
"Combat_Result_Message_10","{0}решает закрыть тебя в подземелье и проткнуть костью лютни"
"Combat_Result_Message_11","{0}Решил заточить вас в темнице и проткнуть кость лютни, в ожидании обезглавливания"
"Combat_target_die_message","Этот  может убить противника, выберите слабый навык, чтобы спасти себе жизнь."
"target_die_msg_confirm","Сохранить ему жизнь"
"target_die_msg_cancel","Казнить"
"Tianshu_Combat","Битва"
"Tianshu_BUFF","Состояние"
"Tianshu_Jingmai","Меридианы"
"Tianshu_Facility","Средство"
"Tianshu_Sect","Секта"
"Tianshu_Interact","Взаимодействие"
"Tianshu_Tile","Сюжет"
"Tianshu_PokeFight","Битва зверей"
"Tianshu_None","Книга Небес будет собираться постепенно по мере накопления опыта. Когда вы столкнетесь с проблемой, о которой не знаете, вы можете открыть ее в любое время, чтобы просмотреть."
"Deal_Title","Торговля"
"Deal_My_Item","Мои предметы"
"Deal_Other_Item","Предметы противника"
"Deal_My_Skill","Мой уникальный навык"
"Deal_Other_Skill","Уникальные навыки противника"
"Deal_My_Equip","Мое снаряжение"
"Deal_Other_Equip","Экипировка противника"
"Deal_Confirm","Подтвердить обмен"
"Deal_Cancel","Отменить обмен"
"Deal_Status_0","Чем「#1вы」 хотите торговать со мной?"
"Deal_Status_1","Я думаю, это хорошая сделка!"
"Deal_Status_2","「#1 Ты」 дал мне недостаточно, я не буду заниматься бизнесом в убыток!"
"Deal_My_Deal_Reward","Моя прибыль"
"Deal_Need_Item","Необходимые предметы"
"Deal_Info_Tips","Удовлетворенность другой стороны сделкой"
"Deal_Info_Tips_1","Удовлетворенность другой стороны запрошенными предметами"
"Deal_Lose_Attitude","Вы воспользовались благоприятным впечатлением о васо стороны {0}, чтобы получить прибыль от сделки, и его благоприятное впечатление о вас ухудшелось. \\n{1}"
"Deal_Desc","Честная торговля"
"Deal_Alms_0","Юный герой, пожалуйста, дай мне что-нибудь..."
"Deal_Alms_1","Спасибо, молодой рыцарь!"
"Deal_Balance_Tips","Нажмите, чтобы автоматически компенсировать разницу медными монетами"
"Deal_Steal_value","<Huang22>В соответствии с текущим уровнем умения предметы общей стоимостью {0} также могут быть украдены</>"
"Deal_Counter_Desc","Скидка по этой транзакции: {0}%</>"
"Search_Other_Item","Контейнерные предметы"
"Search_Other_Skill","Секреты контейнера"
"Search_Other_Equip","Контейнерное оборудование"
"Search_Take_All","Взять все"
"Search_Put_All","Положить все"
"Search_Take_All_1","Получить все {0}"
"Search_Put_All_1","Положить все {0}"
"Search_Finish","Завершить"
"Search_Cancel","Отмена"
"Item_My_Item","Мои предметы"
"Item_Move_Item","Переместить предметы"
"Item_Select_Item","Выбрать предметы"
"Item_Rotate_Item","Поворот предмета"
"Item_Select_Num","Кол-во"
"Item_All_Price","Общая стоимость"
"ZhiZuo","Изготовить"
"need_resource","требуемые ресурсы"
"ZhiGu","Получить токсин"
"item_use_btn_name_93002","Призвать"
"item_use_btn_name_93010","Открыть"
"place_item_desc","<ItemTipNameGray>Размещение：</><ItemTipNameGreen>{0}</><ItemTipNameGray></><ItemTipNameGreen>{1}</><ItemTipNameGray></>"
"Item_Include_Item","Содержимое"
"Demand_Desc","Требование к созданию"
"Demand_Unlock_Desc","Требования для разблокировки"
"Demand_Ability_Desc","Требование способности к изготовлению"
"Demand_Ability_Unlock_Desc","Требование способности разблокировки"
"Skill_Up_Exp_Desc","「Опыт в боевых искусствах」{0}"
"Skill_Up_Max_Desc","Достигнут максимальный уровень"
"Craft_Base_Formation","основные материалы"
"Craft_Item_Formation","необходимые материалы"
"Craft_Extra_Formation","дополнительные материалы"
"Craft_Btn_210006","Ковать"
"Craft_Btn_None_210006","недостаточный навык в ковке"
"Craft_Btn_210009","изготовить"
"Craft_Btn_None_210009","недостаточный навык в производстве"
"Craft_Btn_210010","соткать"
"Craft_Btn_None_210010","недостаточный навык в ткатчестве"
"Craft_Btn_210011","Строительство"
"Craft_Btn_None_210011","низкий навык в строительстве"
"Craft_My_Product","Мое снаряжение"
"craft_part_name_0","Плетеная шляпа"
"craft_part_name_1","Плетение одежды"
"craft_part_name_2","тканные штаны"
"craft_part_name_3","Выковать оружие"
"craft_part_name_4","Создать скрытое оружие"
"craft_ability_desc_0","Можно использовать, когда приобретена способность {0}"
"craft_ability_desc_1","Требуется способность {0} (новичок)"
"craft_ability_desc_2","Требуется способность {0} (эксперт)"
"craft_ability_desc_3","Требуется способность {0} (ветеран)"
"craft_ability_desc_4","Требуется способность {0} (Мастер)"
"craft_ability_desc_5","Требуется способность {0} (Гуру)"
"craft_ability_desc_6","Требуется способность {0} (Мудрец)"
"split_btn_text","изучить"
"split_exp_desc","Можно получить исследовательский опыт"
"split_desc","Положить снаряжение для разборки"
"split_desc1","Разобрать для получения материалов"
"Item_get_desc","получить<TDName>「{0}</>x{1}"
"Equip_get_desc","получено {0}x{1}"
"Destiny_Active","Пробуждена"
"Destiny_UnActive","Не пробуждена"
"Destiny_Lock","Не разблокировано"
"Destiny_point","Очки кармы"
"Destiny_Add","+"
"Destiny_Cost","Использовать"
"Destiny_Task_Finish","Задание кармы завершено"
"Destiny_Task","Задание кармы"
"Desctiny_Unlock_Task","Задача разблокировки кармы"
"Destiny_Active_Destiny","Пробуди карму"
"Destiny_Unlock_Destiny","Открытые кармы"
"Destiny_Point_To_ZhenQi_Tips","Неиспользованные очки кармы преобразуются в {0} очков ци."
"Depend_Prop_zhangfa_attack","Атака ладонью"
"Depend_Prop_quanfa_attack","Атака кулаком"
"Depend_Prop_tuifa_attack","Атака ногами"
"Depend_Prop_bingqi_attack","Атака оружием"
"Depend_Prop_anqi_attack","Атака скрытым оружием"
"Skill_Dmg_Desc","Наносит <dmg>{0}</> урона"
"Skill_Dmg_All_Desc","Наносит <dmg>{0}</> урона всем врагам."
"Effect_Desc_42024","Атакуйте <dmg> 7</> раз подряд"
"Effect_Desc_42100","Наносит <dmg>{0}</> раз {1} раз урона и накладывает на противника <dmg>{2}</> уровней статуса <TipGreenOutLine>Холод</>"
"Effect_Desc_42101","Наносит урон <dmg>{0}</> раз в {1} раз и накладывает на противника <dmg>{2}</> слоев статуса <TipGreenOutLine>Ядовитые миазмы</>"
"Effect_Desc_42102","Наносит <dmg>{0}</> раз {1}раз урона и применяет к противнику <dmg>{2}</> слоев статуса <TipGreenOutLine>Ожог</>"
"Effect_Desc_42103","Наносит <dmg>{0}</>раз {1}раз урона и применяет <dmg>{2}</> уровней статуса <TipGreenOutLine>Пьяный</> к обеим сторонам"
"Effect_Desc_42105","Наносит<dmg>{0}</>раз {1} урона и должен быть нанесен в порядке<TipGreenOutLine>Легкий яд</>"
"Effect_Desc_42106","Наносит урон <dmg>{0}</> раз {1}"
"Effect_Desc_42107","Наносит <dmg>{0}</> раз {1} урона. Каждый <dmg>{2}</> слой <TipGreenOutLine>Cold</>"
"Effect_Desc_42117","Восстановить себе <dmg>{0}%</> крови"
"Effect_Desc_42118","Наносит урон <dmg>{0}</> раз в {1} раз"
"Effect_Desc_42119","Нанесит <dmg>{0}</> раз {1} урона и извлеките <dmg>{2}</> ов ногой"
"Effect_Desc_42120","Наносит урон в <dmg>{0}</> раз в {1}"
"Effect_Desc_42121","Наносит <dmg>{0}</>раз {1} раз урона и наносит <dmg>{2}</> дополнительного урона в зависимости от суммы слоев <TipGreenOutLine>Опьянение</> обеих сторон"
"Effect_Desc_42122","Нанесит <dmg>{0}</> раз {1} урона и украдите <dmg>{2}</> движений у противника"
"Effect_Desc_42123","Наносит <dmg>{0}</> раз {1} урона"
"Effect_Desc_42124","Наносит <dmg>{0}</> раз {1} раз урона. Если количество слоев <TipGreenOutLine>Doom</> противника превышает количество слоев <dmg>{2}</>"
"Effect_Desc_42125","Наносит урон в <dmg>{0}</> раз в {1} и извлекает <dmg>{2}</> ходов сверху несыгранных ходов"
"Effect_Desc_42126","Наносит <dmg>{0}</>раз {1}раз урона и применяет к противнику <dmg>{2}</> слоев <TipGreenOutLine>запечатывающих дыр</>"
"Effect_Desc_42127","Наносит <dmg>{0}</> {1} раз урона и налагает <dmg>{2}</> слоев <TipGreenOutLine>гибель</> на противника"
"Effect_Desc_42128","После каждого применения <dmg>{0}</> урон увеличивается на <dmg>{1}</>. Если на поле битвы нет а ногой"
"Effect_Desc_42129","Наносит урон в <dmg>{0}</> раз в {1} раз"
"Effect_Desc_42130","Наносит <dmg>{0}</> {1} урона и восстанавливает <dmg>{2}</> HP от количества слоев <TipGreenOutLine>Мороз</> на противнике"
"Effect_Desc_42131","Наносит <dmg>{0}</>x {1} урона. Увеличивает количество ов на <dmg>1</> за каждый <dmg>{2}</> заряд <TipGreenOutLine>Cold</> на противнике"
"Effect_Desc_42132","Наносит урон"
"Effect_Desc_42133","Нанести <dmg>{0}</> раз {1} урона"
"Effect_Desc_42134","Наносит <dmg>{0}</> {1} урона"
"Effect_Desc_42135","Наносит урон <dmg>{0}</>раз {1}"
"Effect_Desc_42136","Наносит <dmg>{0}</> раз {1} раз урона. Если уровни <TipGreenOutLine>Scorching</> противника выше слоев <dmg>{2}</>"
"Effect_Desc_42137","Бросьте половину монет"
"Effect_Desc_42138","Наносит <dmg>{0}</>x {1} урона и поглощает <TipGreenOutLine>Токсины</> противника. Каждый <TipGreenOutLine>Токсин</> дает дополнительную <dmg>{2}</> Кровь и Макс. Кровь"
"Effect_Desc_42139","Наносит <dmg>{0}</>раз {1}раз урона и применяет к себе <dmg>{2}</> слоев <TipGreenOutLine>「Шипов」</>"
"Effect_Desc_42140","Примените слой <dmg>{0}</> <TipGreenOutLine>「Золотой колокол」</> к самому себе"
"Effect_Desc_42141","Подражайте уникальным навыкам вашего противника"
"Effect_Desc_42142","Наносит <dmg>{0}</> раз {1} раз урона и случайным образом снижает потребность в <dmg>1</> уникальных приемах"
"Effect_Desc_42143","Наносит <dmg>{0}</> раз {1} раз урона и добавляет <TipGreenOutLine>Критический </> к <dmg>{2}</> движениям"
"Effect_Desc_42144","Нанесит <dmg>{0}</> раз {1} урона и случайным образом выберите <dmg>{2}</> ходов из сыгранных ходов"
"Effect_Desc_42145","Наносит <dmg>{0}</> раз {1}раз урона. За каждую дополнительную вражду в отношениях количество урона увеличивается в <dmg>1</> раз"
"Effect_Desc_42146","Наносит урон в <dmg>{0}</> раз в {1}. Когда Ци больше"
"Effect_Desc_42147","Наносит <dmg>{0}</>x {1} урона. Уменьшает количество движений"
"Effect_Desc_42200","Потребляет <dmg>30%</> текущей крови. За каждые <dmg>100</> потребляемых крови будет появляться <dmg>{0}</> слой <TipGreenOutLine>Шипов</>"
"Effect_Desc_42201","Наносит урон <dmg>{0}</>раз {1}. Количество слоев <TipGreenOutLine>Spike</> не будет израсходовано в этом раунде"
"Effect_Desc_42202","Наносит <dmg>{0}</> раз {1} урона. Эффект <TipGreenOutLine>Spike</> будет применен <dmg>{2}</> раз в этом раунде"
"Effect_Desc_42203","Наносит <dmg>{0}</> раз {1}раз урона"
"Effect_Desc_42210","Наносит урон <dmg>{0}</>раз {1}. В этом раунде ваши кулаки могут сдерживать оружие"
"Effect_Desc_42211","Наносит <dmg>{0}</>x {1} урона. Увеличивает урон на <dmg>{2}%</> каждый раз"
"Effect_Desc_42212","Нанести <dmg>{0}</>раз {1} урона и повторно извлечь обычные атаки с"
"Effect_Desc_42213","Наносит урон <dmg>{0}</> раз {1} и добавляет противнику случайный отрицательный статус в зависимости от количества скрытых приемов оружия"
"Effect_Desc_42214","Наносит урон в <dmg>{0}</> раз в {1} раз. Каждое активированное секретное умение наносит дополнительный урон от оружия в <dmg>{2}</> раз"
"Effect_Desc_42215","Наносит всем врагам урон в <dmg>{0}</> раз в {1}. За каждого дополнительного а по <dmg>1</> человеку урон увеличивается на <dmg>{2}%</>"
"Effect_Desc_42220","Наносит урон в <dmg>{0}</> раз в {1} и разыгрывает дополнительный <dmg>{2}</> {3} в этом раунде"
"Effect_Desc_42221","Наносит урон в <dmg>{0}</> раз в {1} и разыгрывает дополнительный <dmg>{2}</> {3} в этом раунде"
"Effect_Desc_42222","Наносит урон в <dmg>{0}</> раз в {1} и разыгрывает дополнительный <dmg>{2}</> {3} в этом раунде"
"Effect_Desc_42223","Наносит урон в <dmg>{0}</> раз в {1} и разыгрывает дополнительный <dmg>{2}</> {3} в этом раунде"
"Effect_Desc_42224","Наносит урон в <dmg>{0}</> раз в {1} и разыгрывает дополнительный <dmg>{2}</> {3} в этом раунде"
"Effect_Desc_42225","Наносит всем врагам урон в <dmg>{0}</> раз в {1}. За каждое дополнительное <dmg>1</> движение"
"Effect_Desc_42230","Нанесите <dmg>{0}</> раз {1} раз урона и случайным образом уничтожьте <dmg>{2}</> атаки с противника. Устраненные атаки с можно использовать для активации ваших собственных специальных навыков. Вы можете использовать <dmg> в каждом бою. {3}</> раз"
"Effect_Desc_42231","Наносит урон <dmg>{0}</> раз {1} и устраняет случайные типы движений противника"
"Effect_Desc_42232","Наносит урон <dmg>{0}</> раз {1} и заменяет случайное движение противника одного типа движением другого типа"
"Effect_Desc_42233","Нанесите <dmg>{0}</> раз {1} урона"
"Effect_Desc_42234","Наносит <dmg>{0}</>x {1} урона. Увеличивает урон от навыков на <dmg>100%</> за каждый ваш обычный ход на поле на <dmg>1</> больше"
"Effect_Desc_42240","Примените слой <dmg>{0}</> к самому себе <TipGreenOutLine>「Звезды движутся」</>"
"Effect_Desc_42241","Примените слой <TipGreenOutLine>「Взятка」</> к самому себе"
"Effect_Desc_42242","Наносит <dmg>{0}</> раз {1} раз урона и устраняет <dmg>{2}</> слоев каждого Усиления"
"Effect_Desc_42243","Наносит урон <dmg>{0}</> раз в {1}"
"Effect_Desc_42244","Наносит <dmg>{0}</>x {1} урона. Удаляет <dmg>{2}</> стаков каждого из ваших усилений и восстанавливает <dmg>{3}</> Крови за каждый снятый стак."
"Effect_Desc_42250","Наносит <dmg>{0}</> раз {1} урона"
"Effect_Desc_42251","Наносит <dmg>{0}</> раз {1} раз урона"
"Effect_Desc_42252","Наносит урон <dmg>{0}</> раз {1}. За каждый <dmg>1</> недвижения на поле и неиспользованные ходы количество урона составляет <dmg>+1</>"
