"# 文本key","文本value"
"Common_Submit","제출"
"Common_Whos","{0}의"
"Common_Character","캐릭터"
"Common_Ability","능력"
"Common_JingMai","경맥"
"Common_Relation","관계"
"Common_Attitude","태도"
"Common_Destiny","천명"
"Common_Unlock_Collection","도감 해제"
"Common_Return_Login","소세계를 떠나는 중..."
"Common_Story","전기"
"Common_Move_Restraint","초식 상성"
"Common_Prop","속성"
"Common_Fade","반주향의 시간이 지난 후……"
"Common_Fade_Sp","시간이 지난 후……"
"Common_TianLao","이상한 농부…법진 가동…원신 속박…"
"Common_BreakTianLao","당신은 또 다른 농부를 구출했고, 온갖 어려움 끝에 환마사를 탈출했습니다…"
"Common_BreakTianLao_sp","당신은 천성노인에게 구출되어 대황계로 돌아왔습니다…"
"Common_RoyalPrison","당신은 지하 감옥에 갇혔습니다…"
"Common_RoyalPrison_Sp","당신은 지하 감옥에 갇히고 비파골이 꿰뚫렸습니다…"
"Common_RoyalPrison_Sp_Die","당신은 지하 감옥에 갇히고 비파골이 꿰뚫린 채 처형을 기다리고 있습니다…"
"Common_FreeCriminal","시간이 지난 후, 당신은 석방되었습니다…"
"Common_FreeCriminal_NPC","시간이 지난 후, 죄수가 석방되었습니다…"
"Common_KillHead","처형 시간이 되었습니다…"
"Common_Move_To","어딘가로 향하는"
"Common_Find_Somebody","누군가를 찾는"
"Common_Find_Something","{0}을 찾는"
"Common_Move_To_Building","{0}으로 향하는"
"Common_Move_To_Self_Home","누군가의 집으로 향하는"
"Common_Move_To_Other_Home","자신의 집으로 향하는"
"Common_Design","설계"
"Common_Lock","잠금 해제되지 않음"
"Common_GarnishLock","제작 잠금 해제되지 않음"
"Common_Out_World","신비로운 지역 개발 중, 기대해주세요!"
"Common_None","없음"
"Common_Weiget","「무게」{0}"
"Common_Min","최소"
"Common_Max","최대"
"Common_All","전부"
"Common_Fake","황폐"
"Common_Easy","간단"
"Common_Normal","중간"
"Common_Hard","어려움"
"Common_VeryHard","매우 어려움"
"Common_InputNum","수량 입력"
"Common_Cost","소모"
"Common_Reason","「이유」"
"Common_Money","돈"
"Common_Num_Btn","숫자 버튼"
"Common_Active","활성화됨"
"Common_Unactive","비활성화됨"
"Common_Has_Died","혼귀천명"
"Common_Get_Sth","획득"
"Common_Get_Debuff","걸렸다"
"Common_Trap","함정"
"Common_Hold","소지"
"Common_Master","숙달"
"Common_Unit_Price","단가"
"Common_Total_Price","총가"
"Common_Rule","규칙"
"Common_Choose_sth","물품 선택"
"Common_Choose_Member","멤버 선택"
"Common_Choose_Building","건물 선택"
"Common_Choose","선택"
"Common_None_Owner","「소속 없음」"
"Common_Has_Received","「이미 수령」"
"Common_Can_Submit","「제출 가능」"
"Common_Can_Submit_1","제출 가능"
"Common_All_2","모두"
"Common_Agree","동의"
"Common_Degree","거절"
"Common_Wait_Agree","잠시 동의하지 않음"
"Common_skip_time","한 주향의 시간…"
"Common_Be_WuLinLeader","무림맹주가 되었다"
"Common_WuLin_Failure","아쉽게 패배했다"
"Common_P_Attitude","호감도:"
"Common_Btn_Attitude","긍정적 태도 도달:"
"Common_Teach_Condition","이 절학은 대성 경지까지 진입해야 합니다"
"Common_Teach_Ability_Condition","이 능력은 상대 경지보다 높아야 전수할 수 있습니다"
"Common_Take","수령"
"Common_Cure_SomeOne","당신은 {0}을 치료했습니다"
"Common_Forgive_SomeOne","당신은 {0}을 용서했습니다"
"Common_Teach_SomeOne","당신은 {0}에게 전수했습니다"
"Common_Alms_SomeOne","당신은 {0}에게 물품을 시주했습니다"
"Common_Cripple_SomeOne","당신은 {0}을 불구로 만들었습니다"
"Common_Abolish_SomeOne","당신은 {0}의 무공을 폐기했습니다"
"Common_TakeHead_SomeOne","당신의 피묻은 기운이 너무 강해서, 당신이 {0}의 목을 벤 소식이 퍼져나갔습니다"
"Common_Kill_SomeOne_InCombat","당신은 {0}에게 가혹한 손을 썼습니다"
"Common_Grab_SomeOne","당신이 {0}을 약탈하는 것을 목격당했고, 소식이 퍼져나갔습니다"
"Common_Attitude_Up","당신에 대한 호감도가 증가했습니다"
"Common_Attitude_Down","당신에 대한 호감도가 감소했습니다"
"Common_Relation_Apply_300","{0}과 {1}은 불구대천의 원수가 되었습니다"
"Common_Relation_Apply_302","{0}과 {1}은 사이가 나빠졌습니다"
"Common_Relation_Apply","{0}과 {1}은 불구대천의 원수가 되었습니다"
"Common_Attitude_Up_1","{0}의 {1}에 대한 호감도가 증가했습니다"
"Common_Attitude_Down_1","{0}의 {1}에 대한 호감도가 감소했습니다"
"Common_Spread_Msg_Tips","이 소식을 전파할지 확인하시겠습니까?"
"Common_AI_Cur","현재"
"Common_overseas","해외"
"Common_Say_Hi","인사"
"Common_Command","팀 구성"
"Common_Failed","실패,"
"Common_Not_Comprehend","깨닫지 못함"
"Common_On_Equiped","장착됨"
"Common_Monster_Name_1","대"
"Common_Monster_Name_2","이"
"Common_Monster_Name_3","삼"
"Common_Monster_Name_4","사"
"Common_Monster_Name_5","오"
"Common_Monster_Name_6","육"
"Common_Monster_Name_7","칠"
"Common_Monster_Name_8","팔"
"Common_Monster_Name_9","구"
"Common_Monster_Name_10","십"
"Common_Monster_Name_11","십일"
"Common_Half","반"
"Common_Unknown","미지"
"Common_Unknown_1","？？？"
"Common_Fabricator","(내가 지어낸)"
"Common_AttiToMe","호감도"
"Common_Specialties","자원 특산품"
"Common_MapTag","위치 표시"
"Common_Position","위치"
"Common_SplitEquip","장비 분해"
"Common_Split","분해"
"Common_Split_All","일괄 분해"
"Common_Other_Taget","상대방"
"Common_Leave","떠나다"
"Common_Empty_Pos","빈자리"
"Common_Input_XiuWei","무학 심득 주입"
"Common_Recycle","꺼내다"
"Common_Captive","사육"
"Common_Love_Title","동침"
"Common_Food","음식"
"Common_Human_Num","{0}명"
"Common_In_Operating","운영 중"
"Common_Free","【무료】"
"Common_Value_Max","<ArguNameMax>（이미 상한에 도달）</>"
"Common_Store_Atk","（이미 <ArguNum>{0}</> 침 저장됨）"
"Common_Allow","허용"
"Common_Reject","거절"
"Common_Blow_Up","확대"
"Common_Lessen","축소"
"Common_Select","선택"
"Common_Screen","선별"
"Common_Selected","이미 선택됨"
"Common_Occupied","이미 점유됨"
"Common_Add_Attact","{0}이 {1} 증가"
"Common_Load","로드"
"Common_Save","저장"
"Common_Template","템플릿"
"Common_SaveTemplate","템플릿 저장"
"Common_Paper","레시피"
"Common_Over_Dis","거리 초과"
"Common_Random","무작위"
"Common_Lv_Num","{0}레벨"
"Common_Refresh","새로 고침"
"Common_New","새"
"Common_Next_Page","다음 페이지"
"Common_Pre_Page","이전 페이지"
"Common_Rarity_0","범품"
"Common_Rarity_1","양품"
"Common_Rarity_2","극품"
"Common_Not_Name","무명씨"
"Common_Put_Item","放入供品"
"Common_Btn_Unlock","잠금 해제"
"Common_Btn_Item","제작"
"Common_Btn_Equip","직조"
"Common_Btn_Weapon","단조"
"Common_Btn_Cook","요리"
"Common_Switch_Unlock","잠금 해제"
"Common_Switch_Lock","잠금"
"Common_Paper_Item","제작 레시피"
"Common_Paper_Equip","직조 레시피"
"Common_Paper_Weapon","단조 레시피"
"Common_Paper_Cook","요리 레시피"
"Common_Gu_Item","구충"
"Black_Desc_Gong_Ren","{0}은 숨을 죽이고, 칼을 휘둘렀다.  하늘을 울리는 굉음과 함께 {1}은 불구가 되었다…"
"call_desc_gender_0","소협"
"call_desc_gender_1","여협"
"call_desc_1","너"
"call_desc_good_2_1","아버지"
"call_desc_good_2_2","할아버지"
"call_desc_good_2_3","아버지"
"call_desc_good_2_4","아버지"
"call_desc_good_3_1","어머니"
"call_desc_good_3_2","엄마"
"call_desc_good_3_3","어머니"
"call_desc_good_4_1","서방님"
"call_desc_good_4_2","남편"
"call_desc_good_4_3","낭군"
"call_desc_good_4_4","내사랑"
"call_desc_good_4_5","영감님"
"call_desc_good_5_1","부인"
"call_desc_good_5_2","여보"
"call_desc_good_5_3","마누라"
"call_desc_good_5_4","내사랑"
"call_desc_good_6_1","형님"
"call_desc_good_6_2","오라버니"
"call_desc_good_6_3","형"
"call_desc_good_7_1","동생"
"call_desc_good_7_2","우리 막내"
"call_desc_good_8_1","언니"
"call_desc_good_8_2","언니"
"call_desc_good_9_1","여동생"
"call_desc_good_9_2","여동생"
"call_desc_good_10_1","아들"
"call_desc_good_10_2","아들"
"call_desc_good_10_3","망할 녀석"
"call_desc_bad_10_1","역적"
"call_desc_bad_10_2","불효자"
"call_desc_good_11_1","딸"
"call_desc_good_11_2","아가씨"
"call_desc_good_12_1","사형"
"call_desc_good_13_1","사저"
"call_desc_good_14_1","사제"
"call_desc_good_15_1","사매"
"call_desc_good_16_1","의형제"
"call_desc_bad_17_1","이 녀석"
"call_desc_good_18_1","주인"
"call_desc_good_20_1","자기야"
"call_desc_bad_20_1","배신자"
"combat_panel_1","해방 지역"
"combat_panel_2","상성 관계"
"combat_panel_3","{0} 해방"
"combat_change_defender_tips","상대가 『{0}』(으)로 변경"
"combat_jiao_xun","훈계"
"combat_rao_shu","용서"
"combat_ji_yun","기절시킴{0}"
"combat_xia_zhong_shou","가혹하게 다룸{0}"
"combat_fei_chu","무공을 폐기시킴{0}"
"combat_ret_att1","(작은 원한)"
"combat_ret_att2","(갈등 형성)"
"combat_ret_att3","(깊은 원한과 큰 증오)"
"combat_suo_yao","물품 요구"
"combat_fa_jin","벌금 {0} 징수"
"combat_fang_guo","놓아줌 (감사 +100)"
"combat_zhi_liao","상처 치료 (감사 +150)"
"Combat_Result_Message_0","{0}은 신중하게 고려한 후 당신을 기절시키기로 결정했습니다"
"Combat_Result_Message_1","{0}은 신중하게 고려한 후 당신의 다리를 불구로 만들기로 결정했습니다"
"Combat_Result_Message_2","{0}은 신중하게 고려한 후 당신의 무공을 폐기하기로 결정했습니다"
"Combat_Result_Message_3","{0}은 신중하게 고려한 후 당신에게 물품을 요구하기로 결정했습니다"
"Combat_Result_Message_4","{0}은 신중하게 고려한 후 당신을 한 번 용서하기로 결정했습니다. 당신에 대한 호감도가 감소했습니다."
"Combat_Result_Message_5","{0}은 신중하게 고려한 후 당신의 상처를 치료하기로 결정했습니다"
"Combat_Result_Message_7","{0}은 벌금을 징수하기로 결정했습니다"
"Combat_Result_Message_8","{0}은 당신의 다리를 불구로 만들고 벌금을 징수하기로 결정했습니다"
"Combat_Result_Message_9","{0}은 당신을 감옥에 가두기로 결정했습니다"
"Combat_Result_Message_10","{0}은 당신을 감옥에 가두고 비파골을 꿰뚫기로 결정했습니다"
"Combat_Result_Message_11","{0}은 당신을 감옥에 가두고 비파골을 꿰뚫은 채 사형을 기다리게 하기로 결정했습니다"
"Combat_target_die_message","이번 행동으로 상대를 죽일 수도 있습니다. 내공을 낮춰 목숨을 살릴까요?"
"target_die_msg_confirm","목숨을 살려주다"
"target_die_msg_cancel","가혹하게 다루다"
"Tianshu_Combat","전투"
"Tianshu_BUFF","상태"
"Tianshu_Jingmai","경맥"
"Tianshu_Facility","시설"
"Tianshu_Sect","문파"
"Tianshu_Interact","상호 작용"
"Tianshu_Tile","토지"
"Tianshu_PokeFight","斗兽"
"Tianshu_None","천서보전은 당신의 수련에 따라 점차 수집되며, 모르는 문제가 발생하면 언제든지 열어서 확인할 수 있습니다."
"Deal_Title","거래"
"Deal_My_Item","나의 물품"
"Deal_Other_Item","상대 물품"
"Deal_My_Skill","나의 절학"
"Deal_Other_Skill","상대 절학"
"Deal_My_Equip","나의 장비"
"Deal_Other_Equip","상대 장비"
"Deal_Confirm","거래 확인"
"Deal_Cancel","거래 취소"
"Deal_Status_0","[#1 당신]은 나와 무엇을 거래하고 싶은가?"
"Deal_Status_1","이 거래는 성사시키겠다!"
"Deal_Status_2","[#1 당신]이 주는 것이 부족하다. 손해 보는 장사는 하지 않겠다!"
"Deal_My_Deal_Reward","나의 거래 수익"
"Deal_Need_Item","필요한 물품"
"Deal_Info_Tips","상대의 이번 거래 만족도"
"Deal_Info_Tips_1","상대가 요구하는 물품 만족도"
"Deal_Lose_Attitude","당신은 {0}의 당신에 대한 호감을 이용하여 거래에서 이익을 얻었습니다. 그에 대한 호감도가 감소했습니다. \\n{1}"
"Deal_Desc","공정한 거래"
"Deal_Alms_0","소협, 뭔가를 시주해 주십시오..."
"Deal_Alms_1","소협, 감사합니다! 소협, 정말 감사합니다!!"
"Deal_Balance_Tips","클릭 후 동전으로 자동으로 차액을 보충합니다"
"Deal_Steal_value","<Huang22>현재 기술 레벨에 따라 최대 {0} 가치의 물품을 훔칠 수 있습니다. </>"
"Deal_Counter_Desc","<Huang22>이번 거래 할인: {0}%</>"
"Search_Other_Item","용기 물품"
"Search_Other_Skill","용기 절학"
"Search_Other_Equip","용기 장비"
"Search_Take_All","모두 꺼내기"
"Search_Put_All","모두 넣기"
"Search_Take_All_1","{0} 모두 꺼내기"
"Search_Put_All_1","{0} 모두 넣기"
"Search_Finish","확인"
"Search_Cancel","취소"
"Item_My_Item","나의 물품"
"Item_Move_Item","물품 이동"
"Item_Select_Item","물품 선택"
"Item_Rotate_Item","물품 회전"
"Item_Select_Num","수량 선택"
"Item_All_Price","총 가치"
"ZhiZuo","제작"
"need_resource","필요 자원"
"ZhiGu","구충 제작"
"item_use_btn_name_93002","소환"
"item_use_btn_name_93010","열기"
"place_item_desc","<ItemTipNameGray>배치 중:</><ItemTipNameGreen>{0}</> <ItemTipNameGray>남은 수량:</><ItemTipNameGreen>{1}</> <ItemTipNameGray>개</>"
"Item_Include_Item","포함된 물품"
"Demand_Desc","제작 요구 사항"
"Demand_Unlock_Desc","잠금 해제 요구 사항"
"Demand_Ability_Desc","제작 능력 요구 사항"
"Demand_Ability_Unlock_Desc","잠금 해제 능력 요구 사항"
"Skill_Up_Exp_Desc","「무학 심득」{0}"
"Skill_Up_Max_Desc","현재 최고 레벨에 도달했습니다."
"Craft_Base_Formation","기본 재료"
"Craft_Item_Formation","필요 재료"
"Craft_Extra_Formation","추가 재료"
"Craft_Btn_210006","단조"
"Craft_Btn_None_210006","능력 부족으로 단조할 수 없습니다"
"Craft_Btn_210009","제작"
"Craft_Btn_None_210009","능력 부족으로 제작할 수 없습니다"
"Craft_Btn_210010","직조"
"Craft_Btn_None_210010","능력 부족으로 직조할 수 없습니다"
"Craft_Btn_210011","제작"
"Craft_Btn_None_210011","능력 부족으로 제작할 수 없습니다"
"Craft_My_Product","나의 장비"
"craft_part_name_0","모자 직조"
"craft_part_name_1","옷 직조"
"craft_part_name_2","바지 직조"
"craft_part_name_3","무기 단조"
"craft_part_name_4","암기 제작"
"craft_ability_desc_0","{0} 능력 습득 후 사용 가능"
"craft_ability_desc_1","필요 능력{0} ·입문"
"craft_ability_desc_2","필요 능력{0} ·숙련"
"craft_ability_desc_3","필요 능력{0} ·소성"
"craft_ability_desc_4","필요 능력{0} ·숙달"
"craft_ability_desc_5","필요 능력{0} ·대성"
"craft_ability_desc_6","필요 능력{0} ·원만"
"split_btn_text","연구"
"split_exp_desc","연구 경험치 획득 가능"
"split_desc","장비를 넣어 분해 연구"
"split_desc1","분해하여 재료 획득 가능"
"Item_get_desc","<TDName>{0}</> x {1} 획득"
"Equip_get_desc","{0} x {1} 획득"
"Destiny_Active","각성됨"
"Destiny_UnActive","미각성"
"Destiny_Lock","잠금 해제되지 않음"
"Destiny_point","천명 점수"
"Destiny_Add","증가"
"Destiny_Cost","소모"
"Destiny_Task_Finish","달성됨"
"Destiny_Task","천명 목표"
"Desctiny_Unlock_Task","잠금 해제 목표"
"Destiny_Active_Destiny","천명 각성"
"Destiny_Unlock_Destiny","잠금 해제되지 않은 천명"
"Destiny_Point_To_ZhenQi_Tips","사용되지 않은 천명 점수가 {0}점의 진기로 변환되었습니다."
"Depend_Prop_zhangfa_attack","장법 공격"
"Depend_Prop_quanfa_attack","권법 공격"
"Depend_Prop_tuifa_attack","각법 공격"
"Depend_Prop_bingqi_attack","병기 공격"
"Depend_Prop_anqi_attack","암기 공격"
"Skill_Dmg_Desc","<dmg>{0}</> 피해 발생"
"Skill_Dmg_All_Desc","모든 적에게 <dmg>{0}</> 피해 발생"
"Effect_Desc_42024","<dmg>7</>회 연속 공격, <dmg>{0}</> 피해 발생"
"Effect_Desc_42100","상대에게 <TipGreenOutLine>한랭</> 상태 <dmg>{0}</> 중첩 부여"
"Effect_Desc_42101","상대에게 <TipGreenOutLine>독장</> 상태 <dmg>{0}</> 중첩 부여"
"Effect_Desc_42102","상대에게 <TipGreenOutLine>작열</> 상태 <dmg>{0}</> 중첩 부여"
"Effect_Desc_42103","양측 모두에게 <TipGreenOutLine>취의</> 상태 <dmg>{0}</> 중첩 부여"
"Effect_Desc_42105","현재 절학 위치에 따라, 해당 단축키의 구충을 방출합니다."
"Effect_Desc_42106","손에 있는 모든 초식을 암기로 변경합니다."
"Effect_Desc_42107","상대의 <TipGreenOutLine>한랭</> 상태 중첩이 <dmg>{0}</>회마다, 상대의 임의 절학 초식 필요 수량이 <dmg>{1}</> 증가합니다."
"Effect_Desc_42117","자신의 기혈 <dmg>{0}%</> 회복"
"Effect_Desc_42118","상대의 <TipGreenOutLine>작열</> 중첩 수를 두 배로 만듭니다. 최대 <dmg>{0}</> 중첩까지"
"Effect_Desc_42119","각법 초식 <dmg>{0}</>개 흡수"
"Effect_Desc_42120","동물을 <dmg>1</>종류씩 사육할 때마다 피해 횟수가 <dmg>1</>회 증가합니다 (최대 <dmg>{0}</>회 증가)"
"Effect_Desc_42121","양측의 <TipGreenOutLine>취의</> 중첩 수의 합계에 따라 <dmg>{0}</> 중첩 수만큼 추가 피해 발생"
"Effect_Desc_42122","상대의 초식 <dmg>{0}</>개 탈취"
"Effect_Desc_42123","추가로 <dmg>{0}</>배의 암기 피해 발생"
"Effect_Desc_42124","상대의 <TipGreenOutLine>악운</> 중첩 수가 <dmg>{0}</>을 초과하면, 상대에게 <TipGreenOutLine>서심식골부</> 상태 <dmg>1</> 중첩 부여"
"Effect_Desc_42125","사용하지 않은 초식 중 상위 <dmg>{0}</>개 흡수"
"Effect_Desc_42126","상대에게 <TipGreenOutLine>봉혈</> 상태 <dmg>{0}</> 중첩 부여"
"Effect_Desc_42127","상대에게 <TipGreenOutLine>악운</> 상태 <dmg>{0}</> 중첩 부여"
"Effect_Desc_42128","<dmg>{0}</>회 사용할 때마다 피해가 <dmg>{1}</> 증가하며, 각법이 없을 경우 다음 턴에 이 절학을 <dmg>1</>회 무료로 사용할 수 있습니다."
"Effect_Desc_42129","<TipGreenOutLine>독장</> 상태 <dmg>{0}</> 중첩 부여"
"Effect_Desc_42130","자신이 상대의 <TipGreenOutLine>한랭</> 중첩 수의 <dmg>{0}</>배만큼 기혈 회복"
"Effect_Desc_42131","상대가 <TipGreenOutLine>한랭</> 상태를 <dmg>{0}</> 중첩 보유할 때마다 피해 횟수가 <dmg>1</>회 증가합니다."
"Effect_Desc_42132","자신의 <TipGreenOutLine>극독 암질</> 수의 <dmg>{0}</>배만큼 피해 발생"
"Effect_Desc_42133","초식 <dmg>1</>개를 흡수하며, 양측의 <TipGreenOutLine>취의</> 중첩 수의 합계에 따라, <dmg>{0}</> 중첩당 추가로 <dmg>1</>개 흡수"
"Effect_Desc_42134","자신에게 <TipGreenOutLine>취의</> 상태 <dmg>{0}</> 중첩 부여, 기혈이 <dmg>10%</> 감소할 때마다 추가로 <TipGreenOutLine>취의</> 상태 <dmg>{1}</> 중첩 부여"
"Effect_Desc_42135","상대가 착각하여, 이번 턴에 상대의 모든 초식을 간파합니다."
"Effect_Desc_42136","상대의 <TipGreenOutLine>작열</> 중첩 수가 <dmg>{0}</>을 초과하면, 장비 1개 파괴"
"Effect_Desc_42137","동전의 절반을 던져, <dmg>{0}</>개의 동전당 <dmg>1</>의 피해 발생"
"Effect_Desc_42138","상대의 <TipGreenOutLine>구</>를 먹어치우며, 이 전투에서 각 <TipGreenOutLine>구</>당 기혈과 최대 기혈이 <dmg>{0}</> 증가합니다."
"Effect_Desc_42139","자신에게 <TipGreenOutLine>「첨자」</> 상태 <dmg>{0}</> 중첩 부여"
"Effect_Desc_42140","자신에게 <TipGreenOutLine>「금종조」</> 상태 <dmg>{0}</> 중첩 부여"
"Effect_Desc_42141","상대의 절학 1개 모방"
"Effect_Desc_42142","임의로 다른 절학의 초식 필요 수량 1개 감소"
"Effect_Desc_42143","<dmg>{0}</>개의 초식에 <TipGreenOutLine>폭격</> 부여"
"Effect_Desc_42144","사용한 초식 중에서 임의로 <dmg>{0}</>개의 초식을 흡수합니다."
"Effect_Desc_42145","원한 관계가 1개 증가할 때마다 피해 횟수가 <dmg>1</>회 증가하고, 초식 필요 수량이 <dmg>1</>개 감소합니다. \\n[이 무공을 수련하려면 <TipGreenOutLine>절정절의</>가 필요합니다]"
"Effect_Desc_42146","내공이 상대보다 많을 경우, 내공 차이만큼 <dmg>{0}</>배의 피해를 추가로 입힙니다."
"Effect_Desc_42147","다른 절학의 초식 필요 수량을 임의로 1개 감소시키며, 뜻이 맞는 관계가 1개 증가할 때마다 이 절학의 초식 필요 수량이 <dmg>1</>개 감소합니다."
"Effect_Desc_42200","자신의 현재 기혈의 <dmg>30%</>를 소모하며, <dmg>100</> 기혈당 <TipGreenOutLine>첨자</> 상태 <dmg>{0}</> 중첩 부여"
"Effect_Desc_42201","이번 턴에는 <TipGreenOutLine>첨자</> 중첩 수가 소모되지 않습니다."
"Effect_Desc_42202","이번 턴에는 <TipGreenOutLine>첨자</> 효과가 <dmg>{0}</>회 적용됩니다."
"Effect_Desc_42203","현재 보유한 <TipGreenOutLine>첨자</> 중첩 수의 <dmg>{0}</>배만큼 추가 피해 발생"
"Effect_Desc_42210","이번 턴에 당신의 권장은 병기를 극복할 수 있습니다."
"Effect_Desc_42211","이 절학을 사용할 때마다 피해가 <dmg>{0}%</> 증가합니다."
"Effect_Desc_42212","일반 초식을 다시 뽑습니다."
"Effect_Desc_42213","상대가 이번 턴에 사용한 암기 초식 수에 따라, 상대에게 임의의 부정적 상태를 부여합니다."
"Effect_Desc_42214","활성화된 절학이 1개씩 있을 때마다, 추가로 <dmg>{0}</>배의 병기 피해 발생"
"Effect_Desc_42215","적중한 사람이 <dmg>1</>명씩 증가할 때마다 피해가 <dmg>{0}%</> 증가합니다."
"Effect_Desc_42220","이번 턴에 추가로 <dmg>{0}</>개의 {1}을 사용합니다."
"Effect_Desc_42221","이번 턴에 추가로 <dmg>{0}</>개의 {1}을 사용합니다."
"Effect_Desc_42222","이번 턴에 추가로 <dmg>{0}</>개의 {1}을 사용합니다."
"Effect_Desc_42223","이번 턴에 추가로 <dmg>{0}</>개의 {1}을 사용합니다."
"Effect_Desc_42224","이번 턴에 추가로 <dmg>{0}</>개의 {1}을 사용합니다."
"Effect_Desc_42225","이번 턴에 추가로 <dmg>1</>개의 초식을 사용할 때마다 장법 피해가 <dmg>{0}</>배 증가한다"
"Effect_Desc_42230","상대의 초식 <dmg>{0}</>개를 임의로 제거하며, 제거된 초식은 자신의 절학을 활성화하는 데 사용할 수 있습니다. 매 전투당 <dmg>{1}</>회 사용 가능"
"Effect_Desc_42231","상대의 임의의 초식 종류를 제거합니다."
"Effect_Desc_42232","상대의 임의의 초식 종류를 다른 종류의 초식으로 변경합니다."
"Effect_Desc_42233","상대의 초식과 자신의 필드의 일반 초식을 섞어 평균적으로 배분합니다."
"Effect_Desc_42234","필드의 일반 초식 수가 상대의 초식 수보다 <dmg>1</>개 많을 때마다 절학의 피해가 <dmg>100%</> 증가합니다."
"Effect_Desc_42240","자신에게 <TipGreenOutLine>「투전성이」</> 상태 <dmg>1</> 중첩 부여"
"Effect_Desc_42241","자신에게 <TipGreenOutLine>「이화접목」</> 상태 <dmg>1</> 중첩 부여"
"Effect_Desc_42242","자신의 모든 긍정적 버프를 <dmg>{0}</> 중첩씩 제거합니다."
"Effect_Desc_42243","자신의 모든 긍정적 버프를 <dmg>{0}</> 중첩씩 제거하며, 중첩 1개당 절학 피해가 <dmg>{1}%</> 증가합니다."
"Effect_Desc_42244","자신의 모든 긍정적 버프를 <dmg>{0}</> 중첩씩 제거하며, 중첩 1개당 기혈 <dmg>{1}</> 회복"
"Effect_Desc_42250","무작위로 <dmg>{0}</>개의 아직 발동되지 않은 기술을 <dmg>1</>개의 무공으로 변경한다"
"Effect_Desc_42251","필드의 임의의 무공 초식 <dmg>{0}</>개를 무공으로 변경"
"Effect_Desc_42252","필드와 사용하지 않은 초식 중 무공이 <dmg>1</>개 있을 때마다 피해 횟수가 <dmg>+1</> 증가합니다."
"Effect_Desc_42253","필드에 병기 초식이 <dmg>{0}</>개 있을 때마다 필드에 무공 1개 생성"
"Effect_Desc_42254","필드의 초식 수에 따라 초식을 다시 뽑습니다."
"Effect_Desc_42260","도위건곤, 생려당리"
"Effect_Desc_42261","도내신성, 용속당피"
"Effect_Desc_42262","도통사극, 월한당제"
"Effect_Desc_42263","도지고영, 파계당주"
"Effect_Desc_42264","도견생멸, 살생귀일"
